Case,gate length,Theta,Phi,Omega,dt,combination,total time,computing time
case1,18,1.3462577528367072,0.9481895697527661,2.7636294406940367,2.6,"[2, 2, 4, 4, 1, 1, 3, 2, 4, 4, 4, 4, 1, 3, 3, 3, 3, 4]",46.800000000000004,356.24679231643677
case2,33,2.684986559894083,4.6171698727897095,1.8100492425753976,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 4, 4, 4, 1, 3]",85.8,869.0738694667816
case3,4,0.4521638703010477,4.446252125590737,0.9748083640279727,2.6,"[1, 1, 3, 3]",10.4,0.9278614521026611
case4,18,1.228884479352857,5.208877284569153,4.862244791316589,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 3, 1, 4, 3]",46.800000000000004,1943.0589413642883
case5,18,1.5241637287991414,3.48003779865043,5.8238729537632326,2.6,"[1, 1, 3, 3, 2, 2, 4, 1, 3, 3, 3, 3, 2, 2, 4, 4, 1, 1]",46.800000000000004,77.45727324485779
case6,1,1.1839863782511426,4.416656965868222,4.703102081126388,2.6,[-1],2.6,2821.583676099777
case7,1,1.0664154169155724,0.5818480041106913,5.093148128306073,2.6,[-1],2.6,2513.5670874118805
case8,18,1.3805723556371687,3.652138140222226,5.648961108249031,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 1, 3, 3]",46.800000000000004,126.70847654342651
case9,18,1.6983723626077627,0.6116918379296395,5.369047853372491,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1]",46.800000000000004,8.865546941757202
case10,18,1.7688061220892484,3.6149701249112773,0.7013475006636619,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3]",46.800000000000004,8.986069679260254
case11,18,1.4479637565985728,0.10205512630032082,5.760184946713089,2.6,"[1, 1, 3, 3, 2, 2, 4, 1, 3, 3, 3, 3, 2, 2, 4, 4, 1, 3]",46.800000000000004,97.66125774383545
case12,1,1.9488401848936285,1.3113465205334873,1.9790779568545314,2.6,[-1],2.6,2629.4365084171295
case13,33,2.89781192664794,3.403941624500773,2.3728155153229187,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 3, 3]",85.8,147.68754696846008
case14,1,1.553014418843917,1.6469837047126117,2.814912172694577,2.6,[-1],2.6,2695.048788547516
case15,27,2.419251264863002,5.512782282052605,0.31777379690605045,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 0]",70.2,50.64692234992981
