Case,gate length,Theta,Phi,dt,combination,fidelity,total time,computing time
case1,25,2.406980585,0.171831303,2.62,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4]",0.9965641165046639,65.5,1084.040231704712
case2,26,2.476343082,1.336995215,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3]",0.9991257101099743,67.60000000000001,1319.48685836792
case3,18,1.69899155,2.41921076,2.61,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 4, 4, 4, 1, 1, 3, 3]",0.9991558843779946,46.98,1605.4660408496857
case4,18,1.631560132,6.054421459,2.59,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 3, 3, 2, 4, 4, 1]",0.9996182816963285,46.62,1623.9233951568604
case5,33,2.747777223,3.396256961,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 2, 2, 4, 4, 1, 1, 3]",0.9982277897086553,85.8,1646.4257175922394
case6,26,2.34015037,3.942328917,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 4, 1, 1, 1, 3, 2, 2]",0.9999592282226115,67.60000000000001,1077.3238711357117
case7,27,2.655407349,3.27758285,2.61,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3]",0.9920894896432638,70.47,1630.527504682541
case8,18,1.604286885088431,6.198552683667218,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 0]",0.9999425524455536,46.800000000000004,0
case9,2,0.2973588673771472,5.680454896115011,3.58,"[4, 4]",0.9987876631063508,7.16,0.1311180591583252
case10,26,2.624636398,5.422627786,2.61,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4]",0.9914062975731456,67.86,1625.8557722568512
case11,33,2.928758428,3.252371508,2.61,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 1, 1]",0.9923676292968947,86.13,1637.567672252655
case12,10,1.04004704,4.601638175,2.58,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4]",0.9964765444816857,25.8,1586.7010641098022
case13,10,0.95456725,1.45907423,2.56,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3]",0.9996437179743691,25.6,1594.319373369217
case14,10,0.902590575,0.834346321,2.58,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 3]",0.9998307533600739,25.8,1602.3351438045502
case15,26,2.322450918,3.005693339,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 2, 3]",0.9999114345160259,67.60000000000001,0.049750328063964844
case16,18,1.78574971,1.5539781,2.62,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3]",0.9980620468851671,47.160000000000004,1619.3701841831207
case17,27,2.538490716,1.538327356,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 4, 1, 1, 3]",0.9990536865915899,70.2,1642.0907266139984
case18,26,1.9645872038292804,3.819378567810175,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 4, 2, 3, 2, 1]",0.9999563074891309,67.60000000000001,0.0369718074798584
case19,19,1.382758418,3.47554918,2.64,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 2, 4, 4, 1, 4, 1, 1, 3, 3, 3]",0.9999968313253312,50.160000000000004,0
case20,10,0.7060450866193311,0.7698383524403981,2.69,"[1, 1, 3, 3, 2, 2, 2, 4, 0, 0]",0.9999721947754413,26.9,0
case21,3,0.40080828,3.56396067,3.38,"[3, 3, 2]",0.9993769390822732,10.14,0.5443730354309082
case22,26,2.507720841,1.209816535,2.59,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3]",0.9966202339735801,67.34,1637.4289002418518
case23,4,0.472067222,4.10510903,2.97,"[3, 3, 2, 2]",0.9990149485712998,11.88,2.581310510635376
case24,33,2.914374452,4.040818482,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 3, 3]",0.9998123570925418,85.8,1649.0949540138245
case25,27,2.278779523,4.743431739,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 0, 2, 3, 2, 2]",0.9999907615615907,70.2,3.865436553955078
case26,33,2.759097405,4.210534769,2.61,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 1, 1, 3, 3]",0.999759962691995,86.13,1646.0525484085083
case27,33,2.766410841,6.117493147,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 0, 3, 2, 2, 4]",0.9999715206161354,85.8,25.62933349609375
case28,27,2.626272965,0.055556014,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4]",0.9943854333001267,70.2,1640.6950781345367
case29,33,2.73728995,0.727993908,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 3, 0, 2, 2, 4, 4]",0.9999181864047841,85.8,150.2024631500244
case30,12,1.230620527,4.684771207,2.62,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4]",0.9974568048956561,31.44,1596.259937286377
case31,27,2.47150186,3.33561666,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 3, 3]",0.9988785691441681,70.2,1652.0246999263763
case32,27,1.944812881,2.705167888,2.58,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 2, 2, 4]",0.9998008328251973,69.66,1639.8929641246796
case33,33,2.90452406,3.94090877,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 3, 3]",0.9999420941166636,85.8,0
case34,26,2.013444069,4.146849324,2.61,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 1, 1, 1, 3, 3]",0.9992784818327252,67.86,1650.074003458023
case35,11,1.095035451,0.428392077,2.51,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 1]",0.9959549137514173,27.61,1601.8464713096619
case36,4,0.4599580910941931,2.769727513067905,3.3,"[1, 1, 3, 3]",0.9998458618738103,13.2,2.5015993118286133
case37,25,2.382897408,4.704893369,2.61,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4]",0.9996305981603342,65.25,1637.9763722419739
case38,14,1.243525379,5.927537644,2.53,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 4, 4]",0.999868185702112,35.419999999999995,1613.6161596775055
case39,10,0.832117685,3.114011978,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 2, 3]",0.9999897091393483,26.0,0
case40,3,0.388591393,0.709315965,2.98,"[4, 1, 1]",0.9985219774249783,8.94,0.42672014236450195
case41,3,0.434049212,2.399859754,3.24,"[1, 3, 3]",0.9975679393901024,9.72,0.4959383010864258
case42,6,0.644188036,1.508840889,2.62,"[2, 4, 4, 1, 1, 3]",0.9981834641193551,15.72,61.94696402549744
case43,26,1.991720048,2.93142681,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 1, 4, 3, 1, 2, 4]",0.9999981407267978,67.60000000000001,0
case44,4,0.573419849,5.458400455,2.77,"[2, 2, 4, 4]",0.9909251496728927,11.08,2.676617383956909
case45,33,2.863755277,2.076669241,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 0, 2, 2, 4, 4, 4, 1, 1]",0.9999266239654122,85.8,465.92800760269165
case46,27,2.596925744,3.309690394,2.61,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3]",0.9962598965113333,70.47,1637.0764138698578
