Case,gate length,Theta,Phi,Omega,dt,combination,total time,computing time
case1,26,2.4908875695252077,3.430105101969697,2.938953302792403,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4]",67.60000000000001,14.192911624908447
case2,26,2.0418153986511833,0.535660481087758,1.1046942933211374,2.6,"[3, 3, 2, 2, 4, 4, 1, 3, 2, 2, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 0]",67.60000000000001,1053.9963665008545
case3,12,1.0718580686400887,0.9827243673081577,2.0618362109835027,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 2]",31.200000000000003,7.657907724380493
case4,10,0.8597281621485335,1.6965255129880992,2.8689436908693446,2.6,"[2, 2, 4, 4, 1, 1, 3, 2, 4, 4]",26.0,17.725400924682617
case5,10,0.7022601462025859,4.072952353751966,1.723025981174047,2.6,"[3, 2, 2, 4, 4, 1, 3, 3, 0, 0]",26.0,27.65532660484314
case6,26,2.598878546434249,0.9201083739234232,3.047544673263073,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4]",67.60000000000001,16.572476148605347
case7,18,1.4719283868411417,5.104391553879203,1.4319459464513706,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 1, 3]",46.800000000000004,76.07560443878174
case8,18,1.5100082193355602,0.2858352961393191,0.08805359248598928,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 4, 3]",46.800000000000004,40.06991791725159
case9,26,2.4071715676738306,2.2223396371164092,2.119686352141788,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 2]",67.60000000000001,26.321529626846313
case10,1,1.6859040589666954,1.7254455052667244,5.01686429451122,2.6,[-1],2.6,3116.716292619705
case11,1,1.8900128030134553,4.510684204607264,0.43538731768417943,2.6,[-1],2.6,3055.865894317627
case12,19,1.4764240240260575,3.835123772171319,4.9624707403257196,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 1, 3, 3, 2, 3, 2, 2, 4, 4, 1]",49.4,388.5800325870514
case13,1,1.471620738390296,4.260233198702018,5.969018370345687,2.6,[-1],2.6,3049.3745930194855
case14,2,0.3854402532115007,4.858165935300067,2.3682967875372563,2.6,"[2, 2]",5.2,0.05037045478820801
case15,32,3.0689540452807753,2.3119637030499742,4.250083853775042,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2]",83.2,26.810195446014404
