Case,gate length,Theta,Phi,Omega,dt,combination,total time,computing time
case1,26,1.908666788142755,2.266069471785861,2.5086304401223516,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 0, 1, 1, 1, 2]",67.60000000000001,14167.232022762299
case2,18,1.8613809996534478,0.20084012260285752,0.7438109035248547,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3]",46.800000000000004,9.490070104598999
case3,18,1.1492241429964671,1.219135392170202,0.1805780083201838,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 1, 2, 3, 1, 2]",46.800000000000004,17425.130462169647
case4,18,1.151095055685029,2.6921178693092704,1.473276634708801,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 2, 1, 0, 1, 1, 4]",46.800000000000004,16374.063516378403
case5,18,1.1664774566709082,4.415995393343015,4.311840366620106,2.6,"[4, 4, 1, 1, 3, 3, 2, 4, 1, 1, 1, 1, 3, 2, 3, 0, 0, 1]",46.800000000000004,5730.295490980148
case6,19,1.2488741514898836,4.061527451011458,0.402529744073598,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 3, 2, 2, 4, 2, 4, 1, 1, 0, 0]",49.4,15387.321863174438
case7,18,1.1969353372909786,3.235600770807406,4.875640148891253,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 2, 0, 2, 3, 1, 0]",46.800000000000004,3840.7256729602814
case8,26,2.0035211555653274,0.8398303075263885,2.0899817262573603,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 4, 3, 0, 4, 4]",67.60000000000001,3340.369124889374
case9,11,1.1351795510352145,5.105034985846767,2.952618913556626,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2]",28.6,9.335545778274536
case10,26,1.9346986797149872,2.846692103001987,2.4823710560012473,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 4, 3, 4, 3, 3]",67.60000000000001,5302.816181182861
case11,1,1.8333891290280764,1.56747454454029,0.08659856745332634,2.6,[-1],2.6,23690.593663454056
case12,1,1.855494699262675,3.2357957341306247,2.7642000559173567,2.6,[-1],2.6,25380.617925167084
case13,26,2.0218582897190833,4.621561243179978,2.129688830759753,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 3, 3, 2, 4, 4]",67.60000000000001,2472.477372407913
case14,26,2.079640034498245,5.259826021076769,1.6061926236510444,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 0, 2, 2, 3]",67.60000000000001,630.8323976993561
case15,18,1.1603404076989416,0.748313761419188,2.5449371856284193,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 3, 3, 2, 2, 2, 1]",46.800000000000004,14074.94165468216
